Motif Orientation	Motif Position	Positional Enrichment Coefficient	Standard Error	95% CI Upper	95% CI Lower	P-value	Adjusted P-value
+	13.0	0.0020885171803434292	0.002477987225043417	0.006947639169997735	-0.0027706048093108764	0.39940536430239515	0.9875799254970055
+	14.0	-0.000551483273639169	0.002510109046534978	0.004370626873330863	-0.005473593420609201	0.8261189488172688	0.9890948859717803
+	15.0	-0.002018940758110212	0.0022755104254931916	0.0024431414650973194	-0.0064810229813177436	0.3750311883853904	0.9598255838337958
+	16.0	0.0012384725928277374	0.00210281344978021	0.005361910748885552	-0.002884965563230077	0.5559415358519192	0.9875799254970055
+	17.0	0.00449677828669082	0.002166793545454429	0.00874567596354392	0.0002478806098377209	0.03805958460367058	0.8841534269468089
+	18.0	0.005223146907383245	0.002296442615863441	0.009726275373885242	0.0007200184408812475	0.023023378038855867	0.7727018934648098
+	19.0	0.004483911978893489	0.002423042614310078	0.00923529226450302	-0.00026746830671604046	0.06435535091414467	0.9057892884088191
+	20.0	0.001269317744379821	0.002601474895894599	0.006370588543688969	-0.003831953054929327	0.6256476986880606	0.9875799254970055
+	21.0	-0.0023766527198586344	0.0025213938065650294	0.002567585880824081	-0.00732089132054135	0.3459794168834227	0.9515705690033177
+	22.0	-0.003104913618961024	0.0021621436097761237	0.0011348659298902105	-0.007344693167812258	0.15111773126420422	0.9057892884088191
+	23.0	-0.0028841066977160247	0.00197575398592932	0.0009901786666922175	-0.006758392062124267	0.1444846630601417	0.9057892884088191
+	24.0	-0.0012099523784107017	0.0020482928224484056	0.0028065754689577385	-0.005226480225779141	0.554766485728991	0.9875799254970055
+	25.0	0.0018523930452545173	0.002370222550037324	0.006500197681559319	-0.0027954115910502845	0.43456669429858374	0.9875799254970055
+	26.0	0.0020707053205064373	0.0025875064102784113	0.0071445851087022835	-0.003003174467689409	0.42363018997874113	0.9875799254970055
+	27.0	0.0015480489292245504	0.0024818809779369416	0.006414806236815927	-0.003318708378366826	0.5328552162347227	0.9875799254970055
+	28.0	0.0006168250834395024	0.0023025911179423804	0.005132010239077452	-0.003898360072198447	0.7888114919201676	0.9890948859717803
+	29.0	-0.0017836889105860415	0.002268472869634831	0.0026645932647119683	-0.006231971085884052	0.43176931326887824	0.9875799254970055
+	30.0	-0.0010424495061983018	0.0021911745376994116	0.0032542572208185284	-0.005339156233215132	0.634294707867234	0.9875799254970055
+	31.0	0.003082688622214916	0.0020757262702777706	0.007153011125283151	-0.000987633880853319	0.13764010143252278	0.9057892884088191
+	32.0	0.004972978282099017	0.0019612204789948963	0.008818764676690894	0.0011271918875071407	0.01128426120679141	0.5679744807418343
+	33.0	0.0038385015014526323	0.0019405748441488763	0.007643803563737706	3.319943916755847e-05	0.048035932864046324	0.9057892884088191
+	34.0	0.0030705366057011754	0.0018929038046269788	0.0067823598178656744	-0.000641286606463324	0.10490174702550605	0.9057892884088191
+	35.0	0.0008868618291556951	0.0019353669200959083	0.004681951595739453	-0.002908227937428063	0.6468201799601019	0.9875799254970055
+	36.0	-0.0029997095158412	0.002096372769036892	0.001111099013593882	-0.007110518045276282	0.1525827299198772	0.9057892884088191
+	37.0	-0.00428749697929513	0.002173955152324576	-2.4556001059239732e-05	-0.00855043795753102	0.04869582598639336	0.9057892884088191
+	38.0	-0.0013141024639885441	0.0020783619896784368	0.002761388460437518	-0.005389593388414606	0.5272631784868644	0.9875799254970055
+	39.0	0.001943099696071054	0.0017778510910941403	0.005429314331788184	-0.0015431149396460755	0.2745218820366351	0.9490117611725694
+	40.0	0.002090603075820793	0.0017226580184472203	0.005468588794832939	-0.0012873826431913532	0.2250185909666398	0.9490117611725694
+	41.0	0.0012158059691286516	0.0018277595150115293	0.0047998867752905156	-0.0023682748370332128	0.5059909170481827	0.9875799254970055
+	42.0	0.0007050987630783853	0.0016282343578023634	0.003897927722141924	-0.002487730195985154	0.6650194880292837	0.9875799254970055
+	43.0	-0.00047323367764836905	0.0016848169103237378	0.002830548849863273	-0.0037770162051600116	0.7788246721956164	0.9890948859717803
+	44.0	-0.0017895444342950911	0.0018538022068993224	0.0018456038735644666	-0.0054246927421546486	0.33446940877831066	0.9515705690033177
+	45.0	-0.001832770832960862	0.0016287311065187851	0.0013610322080458376	-0.005026573873967562	0.2605805979919493	0.9490117611725694
+	46.0	-0.002175688343606875	0.0016313955451888536	0.0010233394347999893	-0.005374716122013739	0.18244476032039958	0.9291077039261367
+	47.0	-0.003144429667851345	0.0017213168235912478	0.0002309260822282726	-0.006519785417930963	0.06785550154418238	0.9057892884088191
+	48.0	-0.00313009727992978	0.0017008248549786873	0.0002050754642447714	-0.006465270024104332	0.06583687707531066	0.9057892884088191
+	49.0	-0.001666863794499392	0.0016653096915909828	0.0015986667377867038	-0.004932394326785488	0.31695611810275975	0.9490117611725694
+	50.0	0.0006379267480750388	0.0016611927740601815	0.003895384355569055	-0.002619530859418977	0.7009983422521344	0.9875799254970055
+	51.0	0.0007462451232836352	0.0016496292608214136	0.0039810276657537905	-0.0024885374191865196	0.6510407479622689	0.9875799254970055
+	52.0	-0.0006522482993037298	0.0015666451245615453	0.0024198094166549685	-0.0037243060152624286	0.6772011005349414	0.9875799254970055
+	53.0	-0.0003399382204100261	0.0016203511369375567	0.002837432413660408	-0.0035173088544804597	0.8338464095011956	0.9890948859717803
+	54.0	0.0008601853683569821	0.001676558145908931	0.0041477731619451435	-0.0024274024252311796	0.607950397691712	0.9875799254970055
+	55.0	0.0006024653405778322	0.0018110762845844376	0.004153831752166766	-0.002948901071011102	0.7394219238179263	0.9890948859717803
+	56.0	-0.0007425006614825678	0.0019291666895803034	0.003040430980904737	-0.004525432303869873	0.7003579691867674	0.9875799254970055
+	57.0	-0.001822000615257052	0.0016992406783422676	0.0015100656933992984	-0.005154066923913402	0.2837141130618419	0.9490117611725694
+	58.0	-0.002210274118269362	0.001404729588074423	0.0005442810150045269	-0.004964829251543251	0.11574100894437635	0.9057892884088191
+	59.0	-0.0015294128326293112	0.0013814238971536124	0.0011794418248338467	-0.004238267490092469	0.26834535065966214	0.9490117611725694
+	60.0	-0.0010622508392014913	0.0015237880849791013	0.0019257678706873155	-0.004050269549090298	0.4857976757208977	0.9875799254970055
+	61.0	-0.0012158512693282383	0.0015871641207230501	0.0018964424512580684	-0.004328144989914545	0.4437174166399992	0.9875799254970055
+	62.0	-0.0006065029717216748	0.001644485098290308	0.0026181923059633225	-0.0038311982494066725	0.7123004386497144	0.9875799254970055
+	63.0	4.4905294912094993e-05	0.0015525214462189004	0.003089267680032941	-0.0029994570902087507	0.9769274321957919	0.9890948859717803
+	64.0	0.00014955260319632238	0.0012617443080774598	0.002623725775171783	-0.0023246205687791387	0.9056584880471925	0.9890948859717803
+	65.0	0.0006307060556433135	0.0012777122418171712	0.0031361909862831537	-0.001874778874996527	0.6216170425762519	0.9875799254970055
+	66.0	0.00032587379386119874	0.001387339041141791	0.0030463275451108173	-0.0023945799573884194	0.8143124127744779	0.9890948859717803
+	67.0	-0.0004587590044845488	0.0010282228182226796	0.0015574984062866487	-0.0024750164152557465	0.6555153797161701	0.9875799254970055
+	68.0	-0.00029072953802371	0.0003581834814590018	0.0004116377758585786	-0.0009930968519059986	0.41705400003685733	0.9875799254970055
+	69.0	-4.571896309798801e-05	4.8105590721347334e-05	4.8612004930030533e-05	-0.00014004993112600654	0.34200729053370027	0.9515705690033177
+	70.0	-2.394993309369183e-06	2.3926675509604327e-06	2.296824062934037e-06	-7.0868106816724024e-06	0.31693735595769196	0.9490117611725694
+	71.0	-4.467128422833318e-08	4.381821881662786e-08	4.125251249165594e-08	-1.305950809483223e-07	0.30807950594912537	0.9490117611725694
+	72.0	-3.0299423842312934e-10	2.952423886079587e-10	2.7595095074662434e-10	-8.81939427592883e-10	0.3048704301296407	0.9490117611725694
+	73.0	-7.531798535548306e-13	7.31833884819144e-13	6.818840913113634e-13	-2.1882437984210246e-12	0.30350055865749825	0.9490117611725694
+	74.0	-9.898765834792655e-16	6.725624325853759e-16	3.2896108951710425e-16	-2.3087142564756353e-15	0.14120128388496295	0.9057892884088191
+	75.0	-2.9945664004049632e-16	8.542864346365349e-17	-1.319383430108161e-16	-4.669749370701766e-16	0.000464056658220144	0.03503627769562087
